         37932285 function calls (37542195 primitive calls) in 27.282 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       95    4.480    0.047    4.480    0.047 {method 'recv_into' of '_socket.socket' objects}
   455306    2.161    0.000    2.365    0.000 C:\Users\craig\Anaconda3\lib\site-packages\shapely\geometry\point.py:191(geos_point_from_py)
   550352    2.111    0.000    4.587    0.000 C:\Users\craig\Anaconda3\lib\site-packages\shapely\coords.py:69(__getitem__)
  1100716    1.386    0.000    1.471    0.000 C:\Users\craig\Anaconda3\lib\site-packages\shapely\coords.py:44(_update)
        6    1.149    0.191   17.943    2.990 C:\Users\craig\Anaconda3\lib\site-packages\osmnx\save_load.py:609(graph_to_gdfs)
  1916329    0.951    0.000    0.951    0.000 C:\Users\craig\Anaconda3\lib\site-packages\shapely\geometry\base.py:222(empty)
   550360    0.788    0.000    1.552    0.000 C:\Users\craig\Anaconda3\lib\site-packages\shapely\coords.py:48(__len__)
   183450    0.779    0.000    7.529    0.000 {shapely.speedups._speedups.geos_linestring_from_py}
   550391    0.737    0.000    1.047    0.000 C:\Users\craig\Anaconda3\lib\site-packages\shapely\predicates.py:23(__call__)
   455306    0.549    0.000    3.377    0.000 C:\Users\craig\Anaconda3\lib\site-packages\shapely\geometry\point.py:127(_set_coords)
   550391    0.513    0.000    1.710    0.000 C:\Users\craig\Anaconda3\lib\site-packages\shapely\geometry\base.py:640(is_empty)
   893383    0.440    0.000    0.584    0.000 C:\Users\craig\Anaconda3\lib\site-packages\networkx\classes\graph.py:666(nodes)
        2    0.427    0.214    0.427    0.214 {method 'connect' of '_socket.socket' objects}
   370374    0.398    0.000    0.479    0.000 C:\Users\craig\Anaconda3\lib\site-packages\networkx\classes\reportviews.py:805(<genexpr>)
   550356    0.351    0.000    2.162    0.000 C:\Users\craig\Anaconda3\lib\site-packages\shapely\geometry\base.py:320(_get_coords)
   455306    0.346    0.000    3.762    0.000 C:\Users\craig\Anaconda3\lib\site-packages\shapely\geometry\point.py:37(__init__)
   638785    0.344    0.000    0.480    0.000 C:\Users\craig\Anaconda3\lib\site-packages\shapely\geometry\base.py:257(_geom)
   176834    0.338    0.000    1.835    0.000 C:\Users\craig\Anaconda3\lib\site-packages\pandas\core\indexes\base.py:4702(get_value)
  2327071    0.290    0.000    0.368    0.000 {built-in method builtins.isinstance}
   161813    0.260    0.000    0.283    0.000 C:\Users\craig\Anaconda3\lib\site-packages\networkx\classes\multidigraph.py:310(adj)
     4001    0.251    0.000    1.429    0.000 C:\Users\craig\Anaconda3\lib\site-packages\networkx\classes\multigraph.py:463(add_edges_from)
       20    0.245    0.012    0.630    0.031 C:\Users\craig\Anaconda3\lib\site-packages\networkx\algorithms\shortest_paths\weighted.py:763(_dijkstra_multisource)
       21    0.238    0.011    0.238    0.011 C:\Users\craig\Anaconda3\lib\site-packages\osmnx\geo_utils.py:168(<listcomp>)
      189    0.236    0.001    0.236    0.001 {pandas._libs.lib.maybe_convert_objects}
2311616/1922237    0.228    0.000    0.317    0.000 {built-in method builtins.len}
        6    0.225    0.038    3.729    0.621 {pandas._libs.reduction.reduce}
  2751953    0.224    0.000    0.224    0.000 C:\Users\craig\Anaconda3\lib\site-packages\shapely\geometry\base.py:253(_geom)
   319861    0.220    0.000    0.256    0.000 C:\Users\craig\Anaconda3\lib\site-packages\networkx\classes\coreviews.py:101(__getitem__)
638785/638784    0.206    0.000    0.877    0.000 C:\Users\craig\Anaconda3\lib\site-packages\shapely\geometry\base.py:233(__del__)
   176834    0.203    0.000    2.113    0.000 C:\Users\craig\Anaconda3\lib\site-packages\pandas\core\series.py:1065(__getitem__)
   162406    0.194    0.000    0.331    0.000 C:\Users\craig\Anaconda3\lib\site-packages\networkx\algorithms\shortest_paths\weighted.py:86(<lambda>)
   353761    0.175    0.000    0.497    0.000 {pandas._libs.lib.values_from_object}
   893348    0.168    0.000    0.168    0.000 C:\Users\craig\Anaconda3\lib\site-packages\networkx\classes\reportviews.py:177(__getitem__)
  1651088    0.167    0.000    0.167    0.000 {built-in method _ctypes.byref}
   129505    0.164    0.000    0.192    0.000 C:\Users\craig\Anaconda3\lib\site-packages\networkx\classes\multidigraph.py:362(add_edge)
   183450    0.163    0.000    7.882    0.000 C:\Users\craig\Anaconda3\lib\site-packages\shapely\geometry\linestring.py:95(_set_coords)
   550400    0.160    0.000    0.204    0.000 C:\Users\craig\Anaconda3\lib\site-packages\shapely\topology.py:16(_validate)
   893383    0.143    0.000    0.143    0.000 C:\Users\craig\Anaconda3\lib\site-packages\networkx\classes\reportviews.py:167(__init__)
   176834    0.140    0.000    0.140    0.000 {method 'get_value' of 'pandas._libs.index.IndexEngine' objects}
   176869    0.127    0.000    0.366    0.000 C:\Users\craig\Anaconda3\lib\site-packages\pandas\core\indexes\base.py:3104(_convert_scalar_indexer)
    89127    0.123    0.000    0.380    0.000 C:\Users\craig\Anaconda3\lib\site-packages\pandas\core\series.py:416(_set_axis)
   176856    0.121    0.000    0.267    0.000 C:\Users\craig\Anaconda3\lib\site-packages\pandas\core\internals\managers.py:1592(get_values)
      242    0.107    0.000    0.110    0.000 C:\Users\craig\Anaconda3\lib\site-packages\numexpr\necompiler.py:765(evaluate)
   550356    0.101    0.000    0.101    0.000 C:\Users\craig\Anaconda3\lib\site-packages\shapely\coords.py:41(__init__)
577620/577600    0.101    0.000    0.291    0.000 {built-in method builtins.getattr}
   626839    0.099    0.000    0.099    0.000 {method 'update' of 'dict' objects}
   271866    0.098    0.000    0.112    0.000 C:\Users\craig\Anaconda3\lib\site-packages\pandas\core\internals\construction.py:560(<genexpr>)
   550400    0.097    0.000    0.097    0.000 C:\Users\craig\Anaconda3\lib\site-packages\shapely\impl.py:56(__getitem__)
   183450    0.095    0.000    7.977    0.000 C:\Users\craig\Anaconda3\lib\site-packages\shapely\geometry\linestring.py:29(__init__)
   251271    0.094    0.000    0.185    0.000 C:\Users\craig\Anaconda3\lib\_collections_abc.py:742(__iter__)
    88404    0.094    0.000    3.010    0.000 C:\Users\craig\Anaconda3\lib\site-packages\osmnx\save_load.py:644(<lambda>)
   178880    0.091    0.000    0.140    0.000 C:\Users\craig\Anaconda3\lib\site-packages\pandas\core\internals\managers.py:1558(dtype)
   177237    0.091    0.000    0.132    0.000 C:\Users\craig\Anaconda3\lib\site-packages\pandas\core\internals\managers.py:1585(internal_values)
    62883    0.082    0.000    0.304    0.000 C:\Users\craig\Anaconda3\lib\site-packages\osmnx\geo_utils.py:70(<genexpr>)
   224684    0.082    0.000    0.105    0.000 C:\Users\craig\Anaconda3\lib\site-packages\networkx\classes\coreviews.py:80(__getitem__)
   706569    0.081    0.000    0.081    0.000 C:\Users\craig\Anaconda3\lib\site-packages\networkx\classes\coreviews.py:44(__init__)
       12    0.081    0.007    0.081    0.007 {pandas._libs.lib.dicts_to_array}
   463984    0.080    0.000    0.081    0.000 {built-in method builtins.hasattr}
   621681    0.080    0.000    0.080    0.000 C:\Users\craig\Anaconda3\lib\site-packages\pandas\core\internals\managers.py:1523(_block)
        1    0.080    0.080    0.080    0.080 C:\Users\craig\Anaconda3\lib\json\decoder.py:343(raw_decode)
   161811    0.074    0.000    0.526    0.000 C:\Users\craig\Anaconda3\lib\site-packages\networkx\classes\graph.py:451(__getitem__)
        3    0.074    0.025    0.134    0.045 C:\Users\craig\Anaconda3\lib\site-packages\networkx\classes\digraph.py:428(add_nodes_from)
   356380    0.074    0.000    0.098    0.000 C:\Users\craig\Anaconda3\lib\site-packages\pandas\core\indexes\base.py:723(__len__)
       20    0.072    0.004    0.097    0.005 C:\Users\craig\Anaconda3\lib\site-packages\geopandas\array.py:62(from_shapely)
    88426    0.071    0.000    0.194    0.000 C:\Users\craig\Anaconda3\lib\site-packages\pandas\core\internals\managers.py:175(set_axis)
179376/179317    0.066    0.000    0.066    0.000 {built-in method numpy.array}
   550398    0.065    0.000    0.065    0.000 C:\Users\craig\Anaconda3\lib\site-packages\shapely\geos.py:545(errcheck_predicate)
    63320    0.064    0.000    0.221    0.000 C:\Users\craig\Anaconda3\lib\site-packages\networkx\algorithms\components\weakly_connected.py:155(_plain_bfs)
   178880    0.062    0.000    0.202    0.000 C:\Users\craig\Anaconda3\lib\site-packages\pandas\core\series.py:467(dtype)
        1    0.060    0.060    0.179    0.179 C:\Users\craig\Anaconda3\lib\site-packages\osmnx\core.py:768(<listcomp>)
    89633    0.058    0.000    0.101    0.000 C:\Users\craig\Anaconda3\lib\site-packages\pandas\core\series.py:460(name)
   177237    0.057    0.000    0.189    0.000 C:\Users\craig\Anaconda3\lib\site-packages\pandas\core\series.py:559(_values)
   207817    0.056    0.000    0.078    0.000 C:\Users\craig\Anaconda3\lib\site-packages\pandas\core\dtypes\generic.py:7(_check)
   707565    0.055    0.000    0.055    0.000 {method 'items' of 'dict' objects}
   176856    0.055    0.000    0.322    0.000 C:\Users\craig\Anaconda3\lib\site-packages\pandas\core\series.py:593(_internal_get_values)
   162513    0.052    0.000    0.126    0.000 {built-in method builtins.min}
   324828    0.051    0.000    0.074    0.000 C:\Users\craig\Anaconda3\lib\site-packages\networkx\algorithms\shortest_paths\weighted.py:86(<genexpr>)
      216    0.051    0.000    0.052    0.000 {pandas._libs.lib.infer_dtype}
        4    0.051    0.013   13.421    3.355 C:\Users\craig\Documents\PythonProjects\EmbarcTraversal\app\heuristics\loop\helpers.py:153(make_loop)
   126540    0.050    0.000    0.083    0.000 {method 'update' of 'set' objects}
   587326    0.047    0.000    0.047    0.000 {method 'append' of 'list' objects}
   177864    0.047    0.000    0.079    0.000 C:\Users\craig\Anaconda3\lib\site-packages\pandas\core\indexes\base.py:5707(ensure_index)
   176856    0.045    0.000    0.088    0.000 C:\Users\craig\Anaconda3\lib\site-packages\pandas\core\internals\blocks.py:232(to_dense)
   219639    0.044    0.000    0.066    0.000 C:\Users\craig\Anaconda3\lib\site-packages\networkx\classes\coreviews.py:50(__iter__)
   177211    0.044    0.000    0.044    0.000 {method 'view' of 'numpy.ndarray' objects}
       12    0.043    0.004    0.155    0.013 {pandas._libs.lib.fast_unique_multiple_list_gen}
   177126    0.042    0.000    0.060    0.000 C:\Users\craig\Anaconda3\lib\site-packages\pandas\core\common.py:352(apply_if_callable)
       12    0.035    0.003    0.035    0.003 C:\Users\craig\Anaconda3\lib\site-packages\pandas\core\internals\construction.py:567(<listcomp>)
   224692    0.028    0.000    0.028    0.000 C:\Users\craig\Anaconda3\lib\site-packages\networkx\classes\coreviews.py:53(__getitem__)
    79816    0.027    0.000    0.027    0.000 {built-in method _heapq.heappop}
    89127    0.027    0.000    0.027    0.000 C:\Users\craig\Anaconda3\lib\site-packages\pandas\core\series.py:443(_set_subtyp)
    88995    0.027    0.000    0.044    0.000 C:\Users\craig\Anaconda3\lib\site-packages\pandas\core\dtypes\inference.py:386(is_hashable)
    93217    0.027    0.000    0.038    0.000 C:\Users\craig\Anaconda3\lib\_collections_abc.py:676(items)
       38    0.027    0.001    0.027    0.001 {method 'decompress' of 'zlib.Decompress' objects}
        1    0.025    0.025    1.393    1.393 C:\Users\craig\Anaconda3\lib\site-packages\osmnx\core.py:880(create_graph)
    32307    0.025    0.000    0.034    0.000 C:\Users\craig\Anaconda3\lib\site-packages\networkx\classes\multigraph.py:971(<genexpr>)
   179223    0.025    0.000    0.025    0.000 C:\Users\craig\Anaconda3\lib\site-packages\pandas\core\internals\blocks.py:343(dtype)
       21    0.023    0.001    0.023    0.001 {pandas._libs.lib.to_object_array}
   163134    0.023    0.000    0.023    0.000 {method 'get' of 'dict' objects}
   183450    0.023    0.000    0.023    0.000 C:\Users\craig\Anaconda3\lib\site-packages\networkx\classes\reportviews.py:785(<lambda>)
   219737    0.021    0.000    0.025    0.000 {built-in method builtins.iter}
        1    0.020    0.020    0.078    0.078 C:\Users\craig\Anaconda3\lib\site-packages\networkx\classes\function.py:693(set_edge_attributes)
    29567    0.020    0.000    0.140    0.000 {built-in method builtins.sum}
   177237    0.019    0.000    0.019    0.000 C:\Users\craig\Anaconda3\lib\site-packages\pandas\core\internals\blocks.py:207(internal_values)
        5    0.019    0.004   15.629    3.126 C:\Users\craig\Documents\PythonProjects\EmbarcTraversal\app\heuristics\loop\helpers.py:73(get_pivots)
   177146    0.018    0.000    0.018    0.000 {built-in method builtins.callable}
       18    0.017    0.001    0.018    0.001 C:\Users\craig\Anaconda3\lib\site-packages\pyproj\crs.py:159(__init__)
   178013    0.017    0.000    0.018    0.000 {pandas._libs.lib.is_scalar}
        4    0.017    0.004    0.017    0.004 {pyproj._transformer.from_crs}
    89430    0.017    0.000    0.017    0.000 {built-in method builtins.hash}
      242    0.016    0.000    0.047    0.000 C:\Users\craig\Anaconda3\lib\site-packages\pandas\core\series.py:800(__array_ufunc__)
        5    0.016    0.003    0.613    0.123 C:\Users\craig\Documents\PythonProjects\EmbarcTraversal\app\heuristics\loop\helpers.py:119(<listcomp>)
   186912    0.015    0.000    0.015    0.000 C:\Users\craig\Anaconda3\lib\site-packages\networkx\classes\reportviews.py:792(<lambda>)
    32307    0.015    0.000    0.016    0.000 C:\Users\craig\Anaconda3\lib\site-packages\networkx\classes\reportviews.py:1085(__iter__)
   177446    0.015    0.000    0.015    0.000 {pandas._libs.lib.is_float}
        1    0.015    0.015    7.551    7.551 C:\Users\craig\Anaconda3\lib\site-packages\osmnx\core.py:990(graph_from_bbox)
        1    0.015    0.015    1.027    1.027 C:\Users\craig\Anaconda3\lib\site-packages\osmnx\core.py:507(truncate_graph_bbox)
    16853    0.015    0.000    0.017    0.000 C:\Users\craig\Anaconda3\lib\site-packages\networkx\classes\digraph.py:381(add_node)
    14759    0.014    0.000    0.044    0.000 C:\Users\craig\Anaconda3\lib\site-packages\networkx\classes\reportviews.py:553(__iter__)
        1    0.014    0.014   27.228   27.228 C:/Users/craig/Documents/PythonProjects/EmbarcTraversal/app/heuristics/loop/loop.py:5(create_route)
   271880    0.014    0.000    0.014    0.000 {method 'keys' of 'dict' objects}
    34318    0.014    0.000    0.014    0.000 C:\Users\craig\Anaconda3\lib\site-packages\networkx\classes\multigraph.py:343(new_edge_key)
       84    0.014    0.000    0.023    0.000 C:\Users\craig\Anaconda3\lib\site-packages\pandas\core\internals\managers.py:1854(_stack_arrays)
    93459    0.014    0.000    0.088    0.000 C:\Users\craig\Anaconda3\lib\site-packages\networkx\classes\reportviews.py:802(<genexpr>)
   191952    0.013    0.000    0.013    0.000 {method 'values' of 'dict' objects}
    30326    0.013    0.000    0.034    0.000 C:\Users\craig\Anaconda3\lib\site-packages\osmnx\geo_utils.py:66(<genexpr>)
    80710    0.013    0.000    0.013    0.000 {built-in method _heapq.heappush}
    94060    0.013    0.000    0.013    0.000 {method 'copy' of 'dict' objects}
      104    0.013    0.000    0.234    0.002 C:\Users\craig\Anaconda3\lib\site-packages\networkx\algorithms\components\weakly_connected.py:23(weakly_connected_components)
    32303    0.012    0.000    0.015    0.000 C:\Users\craig\Anaconda3\lib\site-packages\networkx\classes\reportviews.py:1082(<genexpr>)
        4    0.012    0.003    0.259    0.065 C:\Users\craig\Anaconda3\lib\site-packages\networkx\algorithms\shortest_paths\weighted.py:384(single_source_dijkstra)
       22    0.011    0.001    0.011    0.001 C:\Users\craig\Anaconda3\lib\site-packages\numpy\lib\function_base.py:4218(delete)
    93217    0.011    0.000    0.011    0.000 C:\Users\craig\Anaconda3\lib\_collections_abc.py:698(__init__)
      546    0.011    0.000    0.011    0.000 {built-in method numpy.empty}
