         12555632 function calls (12460749 primitive calls) in 15.088 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       87    7.154    0.082    7.154    0.082 {method 'recv_into' of '_socket.socket' objects}
        2    0.429    0.214    0.429    0.214 {method 'connect' of '_socket.socket' objects}
    75886    0.404    0.000    0.513    0.000 point.py:191(geos_point_from_py)
    91727    0.342    0.000    0.803    0.000 coords.py:69(__getitem__)
       21    0.312    0.015    0.312    0.015 geo_utils.py:168(<listcomp>)
   161813    0.279    0.000    0.303    0.000 multidigraph.py:310(adj)
   183466    0.256    0.000    0.273    0.000 coords.py:44(_update)
     4001    0.256    0.000    1.491    0.000 multigraph.py:463(add_edges_from)
       20    0.238    0.012    0.527    0.026 weighted.py:763(_dijkstra_multisource)
   319861    0.227    0.000    0.264    0.000 coreviews.py:101(__getitem__)
        1    0.193    0.193    3.360    3.360 save_load.py:609(graph_to_gdfs)
   319444    0.176    0.000    0.176    0.000 base.py:222(empty)
   129505    0.174    0.000    0.204    0.000 multidigraph.py:362(add_edge)
   217494    0.169    0.000    0.207    0.000 reportviews.py:805(<genexpr>)
    30575    0.150    0.000    1.356    0.000 {shapely.speedups._speedups.geos_linestring_from_py}
    91735    0.148    0.000    0.289    0.000 coords.py:48(__len__)
    91766    0.138    0.000    0.194    0.000 predicates.py:23(__call__)
   281878    0.133    0.000    0.177    0.000 graph.py:666(nodes)
       84    0.109    0.001    0.109    0.001 {pandas._libs.lib.maybe_convert_objects}
   626834    0.105    0.000    0.105    0.000 {method 'update' of 'dict' objects}
   162406    0.104    0.000    0.237    0.000 weighted.py:86(<lambda>)
      242    0.103    0.000    0.106    0.000 necompiler.py:765(evaluate)
    75886    0.101    0.000    0.703    0.000 point.py:127(_set_coords)
   251271    0.100    0.000    0.198    0.000 _collections_abc.py:742(__iter__)
    91766    0.096    0.000    0.319    0.000 base.py:640(is_empty)
    62883    0.090    0.000    0.326    0.000 geo_utils.py:70(<genexpr>)
    83144    0.090    0.000    0.091    0.000 {built-in method builtins.hasattr}
   224684    0.087    0.000    0.110    0.000 coreviews.py:80(__getitem__)
        3    0.086    0.029    0.153    0.051 digraph.py:428(add_nodes_from)
   706564    0.085    0.000    0.085    0.000 coreviews.py:44(__init__)
        1    0.080    0.080    0.080    0.080 {pandas._libs.lib.fast_zip}
   161811    0.077    0.000    0.549    0.000 graph.py:451(__getitem__)
