         37932415 function calls (37542325 primitive calls) in 39.948 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      121   11.477    0.095   11.477    0.095 {method 'recv_into' of '_socket.socket' objects}
   455306    2.866    0.000    3.202    0.000 point.py:191(geos_point_from_py)
   550352    2.485    0.000    5.397    0.000 coords.py:69(__getitem__)
  1100716    1.621    0.000    1.718    0.000 coords.py:44(_update)
        6    1.342    0.224   22.605    3.767 save_load.py:609(graph_to_gdfs)
  1916329    1.157    0.000    1.157    0.000 base.py:222(empty)
   183450    0.980    0.000    8.936    0.000 {shapely.speedups._speedups.geos_linestring_from_py}
   550360    0.944    0.000    1.829    0.000 coords.py:48(__len__)
   550391    0.868    0.000    1.228    0.000 predicates.py:23(__call__)
        2    0.720    0.360    0.720    0.360 {method 'connect' of '_socket.socket' objects}
   455306    0.680    0.000    4.466    0.000 point.py:127(_set_coords)
   550391    0.615    0.000    2.020    0.000 base.py:640(is_empty)
   893383    0.515    0.000    0.683    0.000 graph.py:666(nodes)
   176834    0.457    0.000    2.538    0.000 base.py:4702(get_value)
   638785    0.445    0.000    0.614    0.000 base.py:257(_geom)
   455306    0.443    0.000    4.953    0.000 point.py:37(__init__)
   550356    0.414    0.000    2.559    0.000 base.py:320(_get_coords)
   161813    0.404    0.000    0.428    0.000 multidigraph.py:310(adj)
   370374    0.375    0.000    0.460    0.000 reportviews.py:805(<genexpr>)
       20    0.373    0.019    0.803    0.040 weighted.py:763(_dijkstra_multisource)
  2327071    0.368    0.000    0.469    0.000 {built-in method builtins.isinstance}
        6    0.346    0.058    5.502    0.917 {pandas._libs.reduction.reduce}
      189    0.325    0.002    0.325    0.002 {pandas._libs.lib.maybe_convert_objects}
       21    0.315    0.015    0.315    0.015 geo_utils.py:168(<listcomp>)
   176834    0.295    0.000    2.932    0.000 series.py:1065(__getitem__)
2311616/1922237    0.280    0.000    0.392    0.000 {built-in method builtins.len}
     4001    0.279    0.000    1.708    0.000 multigraph.py:463(add_edges_from)
  2751953    0.258    0.000    0.258    0.000 base.py:253(_geom)
   353761    0.249    0.000    0.699    0.000 {pandas._libs.lib.values_from_object}
638785/638784    0.247    0.000    1.053    0.000 base.py:233(__del__)
   319861    0.242    0.000    0.282    0.000 coreviews.py:101(__getitem__)
   176834    0.225    0.000    0.225    0.000 {method 'get_value' of 'pandas._libs.index.IndexEngine' objects}
   893348    0.203    0.000    0.203    0.000 reportviews.py:177(__getitem__)
  1651088    0.194    0.000    0.194    0.000 {built-in method _ctypes.byref}
   183450    0.190    0.000    9.370    0.000 linestring.py:95(_set_coords)
   463984    0.188    0.000    0.189    0.000 {built-in method builtins.hasattr}
   129505    0.188    0.000    0.219    0.000 multidigraph.py:362(add_edge)
   550400    0.184    0.000    0.235    0.000 topology.py:16(_validate)
    89127    0.184    0.000    0.531    0.000 series.py:416(_set_axis)
   176869    0.175    0.000    0.498    0.000 base.py:3104(_convert_scalar_indexer)
   162406    0.173    0.000    0.357    0.000 weighted.py:86(<lambda>)
   893383    0.168    0.000    0.168    0.000 reportviews.py:167(__init__)
   176856    0.160    0.000    0.377    0.000 managers.py:1592(get_values)
577620/577600    0.142    0.000    0.392    0.000 {built-in method builtins.getattr}
    88404    0.137    0.000    4.460    0.000 save_load.py:644(<lambda>)
   271866    0.127    0.000    0.144    0.000 construction.py:560(<genexpr>)
   550356    0.125    0.000    0.125    0.000 coords.py:41(__init__)
   183450    0.118    0.000    9.488    0.000 linestring.py:29(__init__)
   177237    0.117    0.000    0.174    0.000 managers.py:1585(internal_values)
      242    0.116    0.000    0.120    0.000 necompiler.py:765(evaluate)
   550400    0.116    0.000    0.116    0.000 impl.py:56(__getitem__)
   178880    0.113    0.000    0.181    0.000 managers.py:1558(dtype)
       12    0.111    0.009    0.111    0.009 {pandas._libs.lib.dicts_to_array}
   621681    0.110    0.000    0.110    0.000 managers.py:1523(_block)
   626839    0.110    0.000    0.110    0.000 {method 'update' of 'dict' objects}
   251271    0.108    0.000    0.212    0.000 _collections_abc.py:742(__iter__)
       20    0.097    0.005    0.129    0.006 array.py:62(from_shapely)
   356380    0.097    0.000    0.128    0.000 base.py:723(__len__)
    88426    0.096    0.000    0.258    0.000 managers.py:175(set_axis)
    62883    0.095    0.000    0.348    0.000 geo_utils.py:70(<genexpr>)
   706569    0.090    0.000    0.090    0.000 coreviews.py:44(__init__)
   224684    0.090    0.000    0.114    0.000 coreviews.py:80(__getitem__)
        3    0.088    0.029    0.159    0.053 digraph.py:428(add_nodes_from)
    89633    0.085    0.000    0.147    0.000 series.py:460(name)
179376/179317    0.085    0.000    0.085    0.000 {built-in method numpy.array}
   178880    0.083    0.000    0.265    0.000 series.py:467(dtype)
   161811    0.082    0.000    0.691    0.000 graph.py:451(__getitem__)
   550398    0.077    0.000    0.077    0.000 geos.py:545(errcheck_predicate)
   177237    0.076    0.000    0.249    0.000 series.py:559(_values)
    63320    0.074    0.000    0.253    0.000 weakly_connected.py:155(_plain_bfs)
   176856    0.073    0.000    0.450    0.000 series.py:593(_internal_get_values)
   207817    0.072    0.000    0.100    0.000 generic.py:7(_check)
      216    0.072    0.000    0.072    0.000 {pandas._libs.lib.infer_dtype}
        4    0.071    0.018   18.323    4.581 helpers.py:153(make_loop)
   177211    0.071    0.000    0.071    0.000 {method 'view' of 'numpy.ndarray' objects}
   324828    0.069    0.000    0.102    0.000 weighted.py:86(<genexpr>)
   162513    0.067    0.000    0.169    0.000 {built-in method builtins.min}
   177864    0.062    0.000    0.108    0.000 base.py:5707(ensure_index)
   176856    0.062    0.000    0.133    0.000 blocks.py:232(to_dense)
   707565    0.060    0.000    0.060    0.000 {method 'items' of 'dict' objects}
   587326    0.058    0.000    0.058    0.000 {method 'append' of 'list' objects}
   177126    0.057    0.000    0.078    0.000 common.py:352(apply_if_callable)
   126540    0.056    0.000    0.093    0.000 {method 'update' of 'set' objects}
        1    0.055    0.055    0.157    0.157 core.py:768(<listcomp>)
       12    0.052    0.004    0.196    0.016 {pandas._libs.lib.fast_unique_multiple_list_gen}
   219639    0.051    0.000    0.074    0.000 coreviews.py:50(__iter__)
       12    0.050    0.004    0.050    0.004 construction.py:567(<listcomp>)
        1    0.045    0.045    0.045    0.045 decoder.py:343(raw_decode)
    89127    0.041    0.000    0.041    0.000 series.py:443(_set_subtyp)
    88995    0.039    0.000    0.063    0.000 inference.py:386(is_hashable)
    79816    0.038    0.000    0.038    0.000 {built-in method _heapq.heappop}
       84    0.038    0.000    0.048    0.001 managers.py:1854(_stack_arrays)
   179223    0.035    0.000    0.035    0.000 blocks.py:343(dtype)
   163134    0.033    0.000    0.033    0.000 {method 'get' of 'dict' objects}
        1    0.032    0.032    1.516    1.516 core.py:880(create_graph)
        5    0.031    0.006   20.460    4.092 helpers.py:73(get_pivots)
   224692    0.031    0.000    0.031    0.000 coreviews.py:53(__getitem__)
    93217    0.030    0.000    0.042    0.000 _collections_abc.py:676(items)
       21    0.030    0.001    0.030    0.001 {pandas._libs.lib.to_object_array}
   183450    0.026    0.000    0.026    0.000 reportviews.py:785(<lambda>)
   177237    0.026    0.000    0.026    0.000 blocks.py:207(internal_values)
        5    0.026    0.005    0.816    0.163 helpers.py:119(<listcomp>)
    32307    0.024    0.000    0.034    0.000 multigraph.py:971(<genexpr>)
    89430    0.024    0.000    0.024    0.000 {built-in method builtins.hash}
   219737    0.024    0.000    0.028    0.000 {built-in method builtins.iter}
   178013    0.023    0.000    0.024    0.000 {pandas._libs.lib.is_scalar}
    29567    0.022    0.000    0.138    0.000 {built-in method builtins.sum}
      242    0.021    0.000    0.061    0.000 series.py:800(__array_ufunc__)
   177146    0.021    0.000    0.021    0.000 {built-in method builtins.callable}
       38    0.020    0.001    0.020    0.001 {method 'decompress' of 'zlib.Decompress' objects}
   177446    0.020    0.000    0.020    0.000 {pandas._libs.lib.is_float}
        1    0.020    0.020    0.079    0.079 function.py:693(set_edge_attributes)
    16853    0.018    0.000    0.021    0.000 digraph.py:381(add_node)
    80710    0.017    0.000    0.017    0.000 {built-in method _heapq.heappush}
        4    0.017    0.004    0.017    0.004 {pyproj._transformer.from_crs}
        4    0.017    0.004    0.385    0.096 weighted.py:384(single_source_dijkstra)
       18    0.017    0.001    0.018    0.001 crs.py:159(__init__)
   271880    0.017    0.000    0.017    0.000 {method 'keys' of 'dict' objects}
   191952    0.016    0.000    0.016    0.000 {method 'values' of 'dict' objects}
    34318    0.016    0.000    0.016    0.000 multigraph.py:343(new_edge_key)
        1    0.016    0.016    1.168    1.168 core.py:507(truncate_graph_bbox)
    14759    0.016    0.000    0.049    0.000 reportviews.py:553(__iter__)
      104    0.016    0.000    0.269    0.003 weakly_connected.py:23(weakly_connected_components)
    30326    0.016    0.000    0.041    0.000 geo_utils.py:66(<genexpr>)
        1    0.015    0.015   15.071   15.071 core.py:990(graph_from_bbox)
        1    0.014    0.014   39.891   39.891 loop.py:5(create_route)
    16853    0.014    0.000    0.014    0.000 core.py:362(get_node)
    32307    0.014    0.000    0.015    0.000 reportviews.py:1085(__iter__)
    94060    0.013    0.000    0.013    0.000 {method 'copy' of 'dict' objects}
    93459    0.013    0.000    0.084    0.000 reportviews.py:802(<genexpr>)
   186912    0.013    0.000    0.013    0.000 reportviews.py:792(<lambda>)
        1    0.013    0.013    0.036    0.036 core.py:415(parse_osm_nodes_paths)
       24    0.013    0.001    0.862    0.036 geodataframe.py:58(__init__)
      546    0.013    0.000    0.013    0.000 {built-in method numpy.empty}
    93217    0.012    0.000    0.012    0.000 _collections_abc.py:698(__init__)
       22    0.011    0.001    0.012    0.001 function_base.py:4218(delete)
    32303    0.011    0.000    0.013    0.000 reportviews.py:1082(<genexpr>)
    80718    0.009    0.000    0.009    0.000 {built-in method builtins.next}
    45363    0.008    0.000    0.010    0.000 reportviews.py:560(<genexpr>)
        1    0.008    0.008    0.012    0.012 series.py:1748(to_dict)
       33    0.008    0.000    0.733    0.022 construction.py:440(to_arrays)
     2048    0.007    0.000    0.336    0.000 core.py:787(add_path)
      160    0.007    0.000    0.007    0.000 {pandas._libs.lib.infer_datetimelike_array}
      180    0.007    0.000    0.007    0.000 {method 'copy' of 'numpy.ndarray' objects}
    45363    0.007    0.000    0.009    0.000 reportviews.py:559(<genexpr>)
      118    0.007    0.000    0.007    0.000 {method 'astype' of 'numpy.ndarray' objects}
    63232    0.007    0.000    0.007    0.000 {method 'add' of 'set' objects}
      723    0.006    0.000    0.075    0.000 series.py:194(__init__)
      123    0.006    0.000    0.006    0.000 {method 'clear' of 'dict' objects}
     4148    0.006    0.000    0.013    0.000 common.py:1886(_is_dtype_type)
     1804    0.006    0.000    0.015    0.000 _dtype.py:333(_name_get)
       10    0.006    0.001    0.009    0.001 base.py:4060(_try_convert_to_int_index)
     6640    0.005    0.000    0.022    0.000 base.py:231(is_dtype)
     2048    0.005    0.000    0.009    0.000 core.py:387(get_path)
      470    0.005    0.000    0.005    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      738    0.005    0.000    0.111    0.000 construction.py:630(sanitize_array)
        1    0.005    0.005   15.156   15.156 core.py:1096(graph_from_point)
  263/193    0.005    0.000    0.042    0.000 base.py:277(__new__)
     4529    0.005    0.000    0.012    0.000 common.py:1743(is_extension_array_dtype)
      242    0.005    0.000    0.204    0.001 __init__.py:974(wrapper)
     4565    0.004    0.000    0.005    0.000 dtypes.py:83(find)
      530    0.004    0.000    0.004    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
      902    0.004    0.000    0.026    0.000 blocks.py:3195(get_block_type)
      734    0.004    0.000    0.011    0.000 cast.py:866(maybe_castable)
       39    0.004    0.000    0.024    0.001 response.py:71(decompress)
     2048    0.004    0.000    0.004    0.000 core.py:406(<listcomp>)
     1810    0.004    0.000    0.008    0.000 generic.py:5181(__setattr__)
2273/2146    0.004    0.000    0.005    0.000 {method 'format' of 'str' objects}
       22    0.004    0.000    0.269    0.012 utils.py:172(great_circle_vec)
      412    0.004    0.000    0.021    0.000 cast.py:986(maybe_cast_to_datetime)
        1    0.003    0.003    0.003    0.003 {pandas._libs.lib.fast_zip}
    15591    0.003    0.000    0.006    0.000 multigraph.py:970(<genexpr>)
       62    0.003    0.000    0.003    0.000 {method 'decode' of 'bytes' objects}
    19760    0.003    0.000    0.003    0.000 {built-in method builtins.issubclass}
        2    0.003    0.002    0.003    0.002 {built-in method _socket.getaddrinfo}
       93    0.003    0.000    0.049    0.001 managers.py:1031(set)
     1469    0.003    0.000    0.005    0.000 {pandas._libs.lib.is_list_like}
      242    0.003    0.000    0.013    0.000 expressions.py:73(_can_use_numexpr)
        1    0.003    0.003    0.053    0.053 core.py:443(remove_isolated_nodes)
     2453    0.003    0.000    0.003    0.000 {built-in method _abc._abc_instancecheck}
      931    0.003    0.000    0.008    0.000 blocks.py:120(__init__)
      931    0.003    0.000    0.034    0.000 blocks.py:3241(make_block)
     1350    0.003    0.000    0.005    0.000 common.py:255(is_sparse)
      719    0.003    0.000    0.027    0.000 managers.py:1470(__init__)
 1135/863    0.002    0.000    0.022    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       99    0.002    0.000    0.005    0.000 managers.py:216(_rebuild_blknos_and_blklocs)
        7    0.002    0.000    0.002    0.000 {method 'argsort' of 'numpy.ndarray' objects}
       21    0.002    0.000    0.814    0.039 geo_utils.py:133(get_nearest_node)
      334    0.002    0.000    0.003    0.000 managers.py:167(shape)
      242    0.002    0.000    0.136    0.001 expressions.py:99(_evaluate_numexpr)
     1369    0.002    0.000    0.005    0.000 numerictypes.py:365(issubdtype)
     1804    0.002    0.000    0.007    0.000 _dtype.py:319(_name_includes_bit_suffix)
     2738    0.002    0.000    0.003    0.000 numerictypes.py:293(issubclass_)
      558    0.002    0.000    0.005    0.000 _ufunc_config.py:39(seterr)
     1380    0.002    0.000    0.005    0.000 common.py:225(is_object_dtype)
      419    0.002    0.000    0.004    0.000 base.py:4262(__getitem__)
        1    0.002    0.002    0.300    0.300 core.py:750(add_edge_lengths)
    94/91    0.002    0.000    0.071    0.001 frame.py:3458(__setitem__)
      558    0.002    0.000    0.002    0.000 _ufunc_config.py:139(geterr)
      968    0.002    0.000    0.003    0.000 blocks.py:243(mgr_locs)
     1815    0.002    0.000    0.003    0.000 common.py:2020(pandas_dtype)
     1310    0.002    0.000    0.006    0.000 dtypes.py:1092(is_dtype)
      242    0.002    0.000    0.140    0.001 __init__.py:946(na_op)
        1    0.002    0.002    0.338    0.338 core.py:829(add_paths)
      734    0.002    0.000    0.025    0.000 construction.py:759(_try_cast)
        6    0.002    0.000    0.006    0.001 managers.py:826(_interleave)
       72    0.002    0.000    8.159    0.113 {method 'read' of '_io.BufferedReader' objects}
      431    0.002    0.000    0.003    0.000 base.py:4228(__contains__)
       76    0.002    0.000    0.005    0.000 index_tricks.py:318(__getitem__)
     3384    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
       38    0.002    0.000    0.131    0.003 geodataframe.py:19(_ensure_geometry)
        2    0.002    0.001    0.002    0.001 digraph.py:540(remove_nodes_from)
     2115    0.002    0.000    0.010    0.000 common.py:678(is_categorical_dtype)
      793    0.002    0.000    0.002    0.000 generic.py:162(__init__)
     1950    0.002    0.000    0.002    0.000 core.py:825(<listcomp>)
     2337    0.001    0.000    0.002    0.000 series.py:453(name)
    94/22    0.001    0.000    8.189    0.372 {method 'join' of 'bytes' objects}
       20    0.001    0.000    0.805    0.040 weighted.py:634(multi_source_dijkstra)
      265    0.001    0.000    0.014    0.000 cast.py:880(maybe_infer_to_datetimelike)
     1002    0.001    0.000    0.014    0.000 arrays.py:7(extract_array)
       37    0.001    0.000    0.061    0.002 managers.py:1726(form_blocks)
       77    0.001    0.000    0.002    0.000 base.py:1803(is_unique)
      242    0.001    0.000    0.001    0.000 __init__.py:1663(maybe_dispatch_ufunc_to_dunder_op)
      242    0.001    0.000    0.008    0.000 base.py:831(array)
        1    0.001    0.001    0.001    0.001 {method 'round' of 'numpy.ndarray' objects}
        3    0.001    0.000    0.001    0.000 {method 'factorize' of 'pandas._libs.hashtable.Int64HashTable' objects}
       70    0.001    0.000    0.913    0.013 frame.py:397(__init__)
     2166    0.001    0.000    0.008    0.000 common.py:539(is_datetime64tz_dtype)
       24    0.001    0.000    0.010    0.000 managers.py:992(delete)
     1197    0.001    0.000    0.005    0.000 dtypes.py:912(is_dtype)
      121    0.001    0.000   11.479    0.095 socket.py:575(readinto)
      242    0.001    0.000    0.038    0.000 __init__.py:913(_construct_result)
     2453    0.001    0.000    0.004    0.000 abc.py:137(__instancecheck__)
       35    0.001    0.000    0.003    0.000 {pandas._libs.lib.clean_index_list}
      164    0.001    0.000    0.001    0.000 numerictypes.py:578(_can_coerce_all)
     3488    0.001    0.000    0.002    0.000 common.py:211(<lambda>)
      246    0.001    0.000    0.005    0.000 fromnumeric.py:73(_wrapreduction)
      242    0.001    0.000    0.003    0.000 numpy_.py:39(__init__)
        2    0.001    0.001    1.463    0.731 geo_utils.py:84(get_largest_component)
      160    0.001    0.000    0.015    0.000 frame.py:2949(__getitem__)
      751    0.001    0.000    0.001    0.000 generic.py:5162(__getattr__)
      259    0.001    0.000    0.002    0.000 base.py:569(_simple_new)
     1321    0.001    0.000    0.009    0.000 common.py:357(is_categorical)
     1457    0.001    0.000    0.007    0.000 common.py:642(is_interval_dtype)
      808    0.001    0.000    0.005    0.000 common.py:508(is_datetime64_dtype)
      242    0.001    0.000    0.002    0.000 necompiler.py:724(getArguments)
      189    0.001    0.000    0.337    0.002 construction.py:587(convert)
     1804    0.001    0.000    0.001    0.000 _dtype.py:36(_kind_name)
       52    0.001    0.000    0.026    0.001 managers.py:1158(insert)
       72    0.001    0.000    8.161    0.113 client.py:604(_safe_read)
      482    0.001    0.000    0.001    0.000 _internal.py:830(npy_ctypes_check)
      159    0.001    0.000    0.004    0.000 managers.py:971(iget)
     3488    0.001    0.000    0.001    0.000 common.py:209(classes)
      242    0.001    0.000    0.026    0.000 series.py:860(construct_return)
      966    0.001    0.000    0.006    0.000 common.py:577(is_timedelta64_dtype)
       93    0.001    0.000    0.011    0.000 frame.py:3668(_sanitize_column)
        1    0.001    0.001    0.001    0.001 multi.py:1318(_engine)
      125    0.001    0.000    0.002    0.000 _asarray.py:223(require)
     1197    0.001    0.000    0.005    0.000 common.py:608(is_period_dtype)
        1    0.001    0.001    0.001    0.001 core.py:458(<listcomp>)
      558    0.001    0.000    0.001    0.000 {built-in method numpy.seterrobj}
      279    0.001    0.000    0.004    0.000 _ufunc_config.py:446(__exit__)
1453/1397    0.001    0.000    0.007    0.000 _asarray.py:16(asarray)
       18    0.001    0.000    0.001    0.000 {pyproj._crs.is_proj}
      182    0.001    0.000    0.002    0.000 base.py:710(_engine)
      987    0.001    0.000    0.001    0.000 common.py:1850(_get_dtype)
      284    0.001    0.000    0.001    0.000 generic.py:5145(__finalize__)
      242    0.001    0.000    0.001    0.000 necompiler.py:535(getContext)
      159    0.001    0.000    0.011    0.000 generic.py:3265(_get_item_cache)
      246    0.001    0.000    0.001    0.000 {built-in method numpy.arange}
       99    0.001    0.000    0.001    0.000 cast.py:1239(construct_1d_object_array_from_listlike)
       26    0.001    0.000    0.002    0.000 managers.py:878(fast_xs)
